title,user name,date,comments,views,up votes
He Died Showing His Ass,sovkhan,03/12/2022,8,3562,3
Corpse found next to dirt road.,sovkhan,03/12/2022,9,2014,2
Body in a polluted stream,sovkhan,03/12/2022,8,3680,1
Another Normal Day in Rio de Janeiro,sovkhan,03/12/2022,10,5762,2
Thief Agonizes After Being Shot,sovkhan,03/12/2022,15,4474,5
You Can't Park There Mate,BruceLeroy,03/12/2022,15,5348,2
Watchmen are Shot,sovkhan,03/12/2022,8,3782,3
Dead Homeless,sovkhan,03/12/2022,16,2524,2
Truck driver dies on the road,sovkhan,03/12/2022,8,3846,2
Brazilian Soccer Fans Assault Rival,User404,03/12/2022,30,19256,18
Deng received amnesia after he was ejected out of his Truck in Zhouzhuang Town,Roger_From_England,03/12/2022,9,1816,3
Mr.Hu Died in an Accident in Jiangxi,Roger_From_England,03/12/2022,10,1138,4
 covid officer zebra crossing Accident in Guangzhou,Roger_From_England,03/12/2022,12,1762,3
Man on a bike was crushed a car in Guangdong,Roger_From_England,03/12/2022,8,1276,3
A woman was crushed  twice by a tractor in Guangdong ,Roger_From_England,03/12/2022,14,3746,6
Illinois State Police Fatally Shoot Man Wielding Pistol,BruceLeroy,03/12/2022,11,3662,3
Man was ejected out of his van in Hebei,Roger_From_England,03/12/2022,7,1008,4
Accident in Changzhou,Roger_From_England,03/12/2022,6,974,3
Bodycam Footage of Casper Police Shooting Armed Suspect at Fishing Pond,User404,03/12/2022,16,8378,8
"OMG, woman crushed and heart ripped out in Maranhão, Brazil",jason2000,03/12/2022,15,6412,3
Man beaten with clubs,jason2000,03/12/2022,13,4442,2
Never Turn Your Back On a Track,facerapecunt,02/12/2022,25,9996,11
Hitman Surprises Target in Broad Daylight,User404,02/12/2022,19,20376,17
DAMN! Shotgun Took His Whole Brain Off,jason2000,02/12/2022,44,46422,41
Sicarios Film Themselves Killing Perfume Vendor,User404,02/12/2022,29,64332,42
New Orleans Police Officer Shoots Man With Knife Outside The Caesars Superdome,User404,02/12/2022,32,27822,38
Palestinian Attacker Eliminated By IDF Soldier,BruceLeroy,02/12/2022,41,43906,42
Jealous Boyfriend Slits Ex GF Throat Before Killing Himself,User404,02/12/2022,74,102176,82
(Repost) Russian soldier killed by Ukrainians ,Donald26,02/12/2022,11,22860,17
"Another Day, Another Hit In Colombia",BruceLeroy,02/12/2022,17,21016,18
You Think the BULL is Ever Going to Lose?,jason2000,02/12/2022,19,25470,24
captured ukrainian leader,jason2000,02/12/2022,28,19688,12
Man Torn by Violent Machete Blows,sovkhan,02/12/2022,21,36990,15
(Repost) Head Destroyed In Horrible Accident,sovkhan,02/12/2022,14,2996,4
Driver Killed by Biker,sovkhan,02/12/2022,8,5814,4
Drug Trafficking Made Another Victim,sovkhan,02/12/2022,7,2198,3
Man was murdered at work.,sovkhan,02/12/2022,8,3932,3
A couple lost their lives on the road,sovkhan,02/12/2022,5,2124,5
Obese man knocked down and attacked by bull,jason2000,01/12/2022,28,26190,39
How to Make a Predator's Day Worse In a U.K. Jail,User404,01/12/2022,62,108400,68
Big Skirmish between Terrorist versus another terrorist ! Coast State ,DeathBeforeDishonor1,01/12/2022,13,14768,6
Compilation of 200 Russian soldiers,Demah13,01/12/2022,23,15910,19
Gang Members Cruelly Break Bones Of The Bad Luck Favela Thief,jason2000,01/12/2022,81,109170,123
Hitman Finishes Off His Victim Quickly (Action & Aftermath),User404,01/12/2022,18,17624,11
Ruthless Public Hanging of Alleged Sicario In Front of Excited Crowd,User404,01/12/2022,70,116814,72
Desperate man crushed in accident,jason2000,01/12/2022,17,7566,10
Trafficker Eliminates the Competition,User404,01/12/2022,19,48766,34
"Russia: The Parked Car Exploded, the 3-Year-Old Child Inside Died",SystemError,01/12/2022,30,48608,25
Midday BBQ .. Today's Specials Is Narco Rival,Razzia,01/12/2022,67,101058,90
Dead Ukrainian soldiers after a Russian counter-attack,SystemError,01/12/2022,27,14872,15
Cops Fatally Shoot Driver as He Backs Over Man Pulled From His Car,User404,30/11/2022,50,69032,52
Why You Should Never Piss Off A Co-Worker,BruceLeroy,30/11/2022,106,161256,122
the guy unsuccessfully broke the wall,Mixfight,30/11/2022,18,14516,17
Gas Explosion Injures 5 at Restaurant In Honduras,User404,30/11/2022,32,28088,34
Sleeping Woman Gets Hammered and Not With Alcohol,User404,30/11/2022,99,164048,130
Young Woman Dies After Collapsing During Workout In A Gym,User404,30/11/2022,77,97282,58
His Last Game Of Slots,BruceLeroy,30/11/2022,36,46670,28
Russian troops are looking for saboteurs,SystemError,30/11/2022,28,23978,14
Dropped grenade hits two RU soldiers,SystemError,30/11/2022,16,16484,18
Dead Russians near Bakhmut,SystemError,30/11/2022,10,9990,18
Aftermath Of School Bombing In Afghanistan ,BruceLeroy,30/11/2022,26,42558,26
LoL: How mines are defused in Ukraine,SystemError,30/11/2022,21,17236,15
When a bull has no respect for a woman,SystemError,30/11/2022,20,7708,12
Just When You Think Brazil Can't Get Worse (NO MERCY),User404,30/11/2022,44,147370,92
Reason to Stay the Fuck Away From Heavy Machinery (Aftermath),jason2000,30/11/2022,28,8978,11
The Fate Of Russian Invaders 9 Months - A Lullaby,puretone,30/11/2022,25,83304,64
AFU troops clean out remains of their fallen from APC,SystemError,30/11/2022,10,9164,7
Headshot on a Walking Soldier,SystemError,30/11/2022,25,46650,33
Drone drop on top of two Russian soldiers,SystemError,30/11/2022,9,9726,10
The same gang of illegal immigrants the same day in Chile.,Taurus333,30/11/2022,21,17950,9
Bullet Rain: Two Men and a Woman Met their End.,sovkhan,30/11/2022,20,67440,24
Mess in the favela: Two men and an elderly woman met their end,sovkhan,30/11/2022,9,36742,20
Corpse Found in the Creek,sovkhan,30/11/2022,6,2514,2
Man Shot In The Head Next To His Car In Philadelphia,User404,29/11/2022,34,45378,26
tearing apart a bleeding lung,jason2000,29/11/2022,17,8990,8
Electric Company Worker Fried Alive After Simple Mistake,User404,29/11/2022,69,94042,71
Truck Smears Biker Across The Pavement,BruceLeroy,29/11/2022,44,49636,41
Shocking poor old man with crushed walker,jason2000,29/11/2022,14,4508,3
Bridge Jumper Has Second Thoughts,BruceLeroy,29/11/2022,57,89824,49
Tranny Was Tortured Before They Burned Him Alive,User404,29/11/2022,93,179640,135
Black Ladies Never Saw It Coming,User404,29/11/2022,36,115666,58
When Trying to Steal a Bicycle In Dominican Republic Goes Wrong,User404,29/11/2022,78,130772,126
Heated Argument Ends In Fatal Shooting,BruceLeroy,29/11/2022,19,26452,16
Construction Site Worker Falls to His Death,User404,29/11/2022,60,79904,40
Thieves steal next to a drug dealer's house,jason2000,29/11/2022,15,13170,13
Congo couple on their honeymoon,jason2000,29/11/2022,25,17074,9
Fatal pedestrian accident in Petrozavodsk,SystemError,29/11/2022,10,4132,6
truck driver crushed under the irons,jason2000,29/11/2022,13,8042,5
old man punishes thief with sticks,Fenrir666,29/11/2022,7,5104,10
Single RU soldier is left in a foxhole,SystemError,29/11/2022,15,14180,13
Horribly aimed bomb drops near AFU in trench,SystemError,29/11/2022,16,15256,14
ukraine war compilation,loic52,29/11/2022,8,14968,15
Deadly Horse Race Accident In Brazil (Full),sovkhan,28/11/2022,37,56604,32
Man was executed Inside his House.,sovkhan,28/11/2022,11,8390,6
 Naked and Dead,sovkhan,28/11/2022,13,10530,6
Ukrainian drone + Mk 19 = good russians in Bakhmut,EternalRest,28/11/2022,21,12826,26
The legacy of the UN in Chile... illegal immigration,Taurus333,28/11/2022,18,6490,13
Even If He Survived This I Doubt He'd Want To Be Alive,User404,28/11/2022,92,168654,91
Off Duty Soldier Kills Himself With AK47 In Front Of Comrades,User404,28/11/2022,73,97406,71
Lin died in an Accident in Taizhou,Roger_From_England,28/11/2022,12,5898,9
When The Gang Life Catches Up To You,BruceLeroy,28/11/2022,21,49106,26
Two electric bicycles collided into each other in Sansui County,Roger_From_England,28/11/2022,6,3606,6
Zebra crossing Accident in Nanchang City.,Roger_From_England,28/11/2022,4,1466,5
Cao on his motorcycle collided into Tangs car in Yibin City,Roger_From_England,28/11/2022,6,1072,5
Electric bicycle collided into a car in Yugou Town,Roger_From_England,28/11/2022,4,1196,4
Elderly Li was knocked down by lu truck in Jiang'an,Roger_From_England,28/11/2022,7,2186,8
Mr. Fang died in a Accident on the G1521 Changjia Expressway,Roger_From_England,28/11/2022,4,1040,7
